timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Direct Shortwave Radiation,Geneva Diffuse Shortwave Radiation,Geneva Evapotranspiration,Geneva FAO Reference Evapotranspiration [2 m],Geneva CAPE [180-0 mb above gnd],Geneva Wind Gust,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Speed [850 mb],Geneva Wind Direction [850 mb],Geneva Wind Speed [700 mb],Geneva Wind Direction [700 mb],Geneva Wind Speed [500 mb],Geneva Wind Direction [500 mb],Geneva Temperature [1000 mb],Geneva Temperature [850 mb],Geneva Temperature [700 mb],Geneva Temperature,Geneva Soil Temperature [0-10 cm down],Geneva Soil Moisture [0-10 cm down],Geneva Vapor Pressure Deficit [2 m]
20200427T2100,16.63507,72.0,1008.1,0.0,0.0,100.0,100.0,100.0,20.0,0.0,26.699999,13.972794,12.727205,0.03888,0.0071899914,204.0,16.56,5.5625954,196.69925,16.343367,187.59465,19.13426,191.94418,25.516865,196.38954,44.596428,206.35822,31.557032,214.77783,19.55,8.72,-2.68,15.5,16.190002,0.249,5.0749655
20200427T2200,16.18507,74.0,1008.4,0.0,0.0,100.0,64.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0144,0.006053203,163.0,16.56,5.0545845,198.43495,15.281989,195.01836,17.654686,196.58734,25.809765,202.98872,44.923615,201.63089,32.553635,209.11615,19.06,8.4,-2.75,15.22,15.970001,0.249,4.578624
20200427T2300,15.68507,77.0,1008.4,0.0,0.0,100.0,47.0,48.0,100.0,0.0,0.0,0.0,0.0,0.01152,0.004136791,134.0,16.56,5.1450386,201.2505,14.917212,199.74684,17.76081,197.70042,25.925,205.49756,48.046177,199.24953,35.900864,201.16125,18.63,8.24,-2.8,14.75,15.730011,0.249,3.9222326
20200428T0000,14.22507,84.0,1008.1,0.0,0.0,100.0,100.0,47.0,100.0,0.0,0.0,0.0,0.0,0.00432,0.0,107.0,18.359999,4.652476,193.24052,15.192682,193.70695,18.947083,194.30028,27.416782,203.1986,51.68477,198.68735,39.516457,196.94922,18.22,8.19,-2.69,12.69,15.369995,0.249,2.4823236
20200428T0100,13.56507,87.0,1008.3,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.00288,0.0,80.0,17.64,4.861344,189.46233,16.808569,189.86581,20.431387,194.2811,30.302078,203.82426,53.050858,198.18904,43.07081,196.01118,17.68,7.86,-2.66,12.34,14.980011,0.249,1.9317961
20200428T0200,12.85507,91.0,1008.4,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.00288,0.0,46.0,18.0,5.3079824,197.52557,17.654686,196.58734,20.799152,203.45903,32.664917,211.93845,53.6255,197.58348,45.766747,197.86487,16.9,7.25,-2.83,11.78,14.600006,0.249,1.2764769
20200428T0300,12.25507,94.0,1008.5,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.00144,0.0,13.0,16.56,5.619714,211.42957,15.990646,211.18497,18.971008,213.38852,33.233284,219.7261,56.593327,199.70285,47.01688,198.29622,16.07,6.93,-3.07,11.32,14.200012,0.249,0.8179426
20200428T0400,11.76507,97.0,1008.3,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.00144,0.0,2.0,10.440001,4.9121733,220.6013,11.808878,217.5686,14.4,216.8699,32.219498,219.55966,58.99608,203.7495,46.287655,195.33328,15.46,6.91,-3.18,10.79,13.809998,0.249,0.39589977
20200428T0500,12.2050705,93.0,1008.2,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.00144,0.0,2.0,8.64,3.3907182,225.0,8.0899935,212.27565,10.383987,213.69006,32.17522,220.46222,58.134148,205.29555,45.258457,191.93561,15.04,6.64,-3.2,11.86,13.480011,0.249,0.9511137
20200428T0600,11.80507,95.0,1008.3,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.00144,0.0,5.0,6.4799995,2.4560866,220.6013,7.42159,202.83365,9.387651,212.47119,33.60171,225.0,55.35695,202.56255,43.085846,189.61974,14.69,6.12,-3.3,10.19,13.200012,0.249,0.6615877
20200428T0700,12.05507,93.0,1008.4,0.0,0.0,100.0,100.0,100.0,100.0,0.0,7.12,5.9055505,1.2144495,0.0,0.0,24.0,7.5599995,2.6372256,225.0,7.5685663,205.34618,8.435069,219.80557,33.790176,231.0542,52.502018,200.05023,39.919437,187.25319,14.32,5.48,-3.48,11.92,12.910004,0.249,0.9417124
