timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Gust
20200317T1300,14.093722,50.0,1029.2,0.0,0.0,1.2,4.0,0.0,0.0,59.234043,638.13,5.117377,38.659805,6.9153743,38.659805,6.489992,33.690063,5.04
20200317T1400,14.813722,54.0,1029.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,671.95,7.401894,30.256424,10.315115,29.24881,18.278645,32.124985,11.5199995
20200317T1500,15.903723,49.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,657.70996,6.1329885,55.61966,8.209263,52.125,10.464797,26.565033,11.879999
20200317T1600,16.663723,48.0,1028.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,595.41,9.426194,47.29059,13.746156,44.999985,14.529915,48.01277,13.679999
20200317T1700,16.903723,49.0,1027.8,0.0,0.0,0.0,0.0,0.0,0.0,60.0,489.5,9.53846,35.909714,14.57889,32.905228,16.563911,42.357452,14.4
20200317T1800,16.733723,52.0,1027.7,0.0,0.0,0.0,0.0,0.0,0.0,60.0,352.44,8.64467,33.690063,13.70839,29.931503,19.406637,40.485992,14.759999
20200317T1900,15.793722,57.0,1027.9,0.0,0.0,0.0,0.0,0.0,0.0,60.0,188.68,6.448861,38.290146,12.181624,34.159683,18.899143,40.364532,14.04
20200317T2000,14.693722,64.0,1028.3,0.0,0.0,0.0,0.0,0.0,0.0,45.666668,32.04,6.415762,48.366455,13.513193,41.7603,16.870138,39.805573,12.959999
20200317T2100,14.273722,66.0,1028.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0397053,48.576324,13.513193,41.7603,15.124284,38.23381,11.879999
20200317T2200,13.6837225,69.0,1029.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.117377,51.34018,12.984975,43.876694,12.7279215,44.999985,12.599999
20200317T2300,13.113722,74.0,1029.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.897704,44.999985,11.966954,43.781113,12.496718,48.503525,11.879999
20200318T0000,12.753722,76.0,1029.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9121733,49.398697,11.720751,47.489548,13.755579,42.87889,12.599999
20200318T0100,12.373722,78.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9333487,61.699234,9.0,53.130096,15.281989,46.909134,9.72
20200318T0200,11.743722,79.0,1029.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1968002,89.99999,5.0528407,85.91438,16.548256,44.11859,6.12
20200318T0300,10.733722,78.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5984001,89.99999,2.9024127,82.874985,14.773164,46.97493,5.04
20200318T0400,9.883722,79.0,1029.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8837326,44.999985,4.6102495,38.659805,15.7908325,46.847595,5.04
20200318T0500,9.273722,82.0,1028.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2916594,35.53766,6.696387,36.25383,16.870138,39.805573,6.12
20200318T0600,8.743722,87.0,1028.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8648,89.99999,6.792466,57.994614,19.914215,40.601288,5.7599998
20200318T0700,8.173722,89.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3767465,135.0,4.6102495,51.34018,20.620804,45.70732,4.32
20200318T0800,7.823722,90.0,1028.8,0.0,0.0,6.0,0.0,0.0,6.0,19.12908,2.67,1.0656,180.0,3.2399998,89.99999,20.12461,42.82524,3.2399998
20200318T0900,8.033722,90.0,1028.6,0.0,0.0,17.0,0.0,0.0,17.0,49.148937,111.25,1.191377,206.56505,1.609969,116.56505,19.346441,44.999985,6.12
20200318T1000,9.583722,85.0,1028.8,0.0,0.0,0.0,0.0,0.0,0.0,60.0,280.35,2.1967907,14.03624,3.2599385,6.340164,21.892027,44.999985,9.72
20200318T1100,11.413722,79.0,1027.8,0.0,0.0,0.0,0.0,0.0,0.0,60.0,434.32,5.5434246,35.21759,8.587338,33.023865,23.740902,49.30446,12.599999
20200318T1200,13.093722,69.0,1027.6,0.0,0.0,0.0,0.0,0.0,0.0,60.0,558.02997,7.6331854,29.24881,12.24,28.07248,22.932877,47.5448,15.84
20200318T1300,14.473722,62.0,1026.3,0.0,0.0,0.0,0.0,0.0,0.0,60.0,641.69,7.992,36.86989,12.783802,32.347427,21.67487,41.63353,16.56
20200318T1400,15.663722,58.0,1025.7,0.0,0.0,0.0,0.0,0.0,0.0,60.0,679.07,8.495612,41.185898,13.392774,36.25383,22.97522,35.433304,16.919998
20200318T1500,16.973722,53.0,1025.7,0.0,0.0,0.0,0.0,0.0,0.0,60.0,665.72,5.4919763,50.906143,7.42159,50.906143,12.55879,27.29956,14.4
20200318T1600,17.843721,50.0,1025.4,0.0,0.0,0.0,0.0,0.0,0.0,60.0,603.42,8.288423,44.999985,12.218805,44.999985,13.392774,36.25383,12.959999
20200318T1700,18.013721,50.0,1024.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,495.72998,8.132838,31.607498,12.594856,30.963745,14.081477,32.47119,12.599999
20200318T1800,17.833721,49.0,1023.9,0.0,0.0,0.0,0.0,0.0,0.0,60.0,357.78,6.3154216,27.645966,9.983106,25.640991,14.021525,29.19748,11.5199995
20200318T1900,16.993723,54.0,1024.1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,194.02,3.8420756,33.690063,7.5685663,25.34616,13.363711,27.255325,9.36
20200318T2000,15.843722,60.0,1023.8,0.0,0.0,0.0,0.0,0.0,0.0,47.033333,34.71,3.7862556,50.71057,7.9932966,35.837646,12.682018,34.59227,6.8399997
20200318T2100,15.083722,65.0,1024.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.767465,44.999985,7.289445,32.905228,11.988594,48.65222,6.12
20200318T2200,14.473722,68.0,1024.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0374274,52.125,5.6233797,39.805573,11.090103,54.2461,5.3999996
20200318T2300,14.123722,70.0,1025.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7870656,63.43495,3.563818,44.999985,8.714677,51.70984,3.6
20200319T0000,13.503722,71.0,1024.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6848617,108.434944,2.5455842,81.869896,6.1305785,49.76364,2.8799999
20200319T0100,12.843722,69.0,1024.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2916594,144.46231,2.0991426,120.96376,4.1046314,37.87497,1.8
20200319T0200,11.923722,69.0,1025.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7391024,175.91438,5.04,180.0,1.2979984,56.30993,2.8799999
20200319T0300,11.103722,72.0,1026.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9424841,174.80557,4.32,180.0,1.4399999,180.0,4.32
20200319T0400,10.563722,76.0,1025.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5132127,212.00539,3.8268526,228.81409,3.671294,191.30994,5.3999996
20200319T0500,9.803722,83.0,1025.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4560866,220.6013,4.452954,255.96376,3.8773184,201.8014,5.04
20200319T0600,9.103722,90.0,1024.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1477854,209.74489,3.319036,257.4712,3.6,216.8699,2.8799999
20200319T0700,8.583722,90.0,1024.3,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1.4346079,201.8014,1.484318,255.96376,2.5959969,213.69006,0.71999997
20200319T0800,8.123722,90.0,1024.9,0.0,0.0,19.0,0.0,0.0,19.0,17.845743,3.56,1.191377,243.43495,2.16,270.0,2.9024127,240.25513,1.08
20200319T0900,8.463722,88.0,1025.1,0.0,0.0,22.0,0.0,0.0,22.0,45.95745,115.7,1.1302395,225.0,2.1897945,260.5377,3.319036,257.4712,1.08
20200319T1000,10.323722,84.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,284.8,0.2664,270.0,1.4399999,270.0,2.9024127,240.25513,1.4399999
20200319T1100,12.443722,77.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,437.88,1.5984001,360.0,1.8,360.0,3.319036,229.39871,1.08
20200319T1200,14.283722,69.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,559.81,3.118132,19.983109,4.1046314,15.255127,4.3498964,245.55606,3.96
20200319T1300,15.793722,63.0,1023.1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,642.58,3.9333487,28.30075,5.154415,24.775131,5.4119864,266.1859,5.7599998
20200319T1400,17.073723,60.0,1023.1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,679.07,3.2189233,24.443954,4.1046314,15.255127,6.489992,266.8202,4.68
20200319T1500,18.293722,55.0,1022.7,0.0,0.0,2.0,0.0,0.0,2.0,58.723404,658.6,2.1477854,277.125,2.9024127,277.125,6.0347,252.64598,5.04
20200319T1600,18.973722,50.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,590.95996,2.1477854,299.74487,2.6208394,285.9454,5.04,270.0,5.7599998
20200319T1700,19.173721,48.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,496.62,1.3583788,11.309921,1.4399999,360.0,2.8799999,270.0,5.04
20200319T1800,19.013721,46.0,1020.6,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,344.43,2.8815567,56.30993,3.0547013,44.999985,1.2979984,213.69006,5.7599998
20200319T1900,18.043722,53.0,1020.9,0.0,0.0,0.0,0.0,0.0,0.0,60.0,186.01,4.897704,44.999985,6.9153743,38.659805,2.52,180.0,5.04
20200319T2000,16.043722,68.0,1020.5,0.0,0.0,0.0,0.0,0.0,0.0,48.4,36.489998,7.093447,34.286865,12.287555,31.827438,2.9024127,172.87498,7.5599995
20200319T2100,15.263722,72.0,1020.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.874978,35.53766,14.689588,36.027374,2.6208394,164.0546,8.28
20200319T2200,14.943722,75.0,1021.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.027944,44.999985,13.246826,42.797394,1.0182338,135.0,9.0
20200319T2300,14.213722,77.0,1021.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5288,61.927513,9.585739,55.71312,0.71999997,89.99999,8.64
20200320T0000,13.593722,75.0,1021.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3976,89.99999,5.3517847,70.346176,0.8049845,26.565033,5.3999996
20200320T0100,12.793722,71.0,1021.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8815567,146.30994,5.1165614,140.71059,0.71999997,89.99999,5.3999996
20200320T0200,11.873722,72.0,1021.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.270717,183.57634,9.0,180.0,1.4399999,180.0,4.68
20200320T0300,11.193722,72.0,1022.1,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.5366287,183.36646,7.5942073,185.44034,4.39436,214.99202,7.5599995
20200320T0400,10.443722,76.0,1021.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3907182,225.0,5.6233797,219.80557,5.3999996,216.8699,9.0
20200320T0500,9.743722,79.0,1021.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5840454,228.01279,7.6367526,261.8699,8.0899935,237.72437,9.0
20200320T0600,8.9337225,85.0,1021.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3697233,198.43495,5.815978,248.1986,11.983188,237.26477,5.3999996
20200320T0700,8.963722,82.0,1021.6,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.9394212,195.9454,2.5455842,225.0,14.618837,232.00127,2.52
20200320T0800,8.713722,82.0,1021.6,0.0,0.0,8.0,0.0,0.0,8.0,22.247164,5.34,0.3767465,225.0,0.8049845,296.56506,12.181624,235.8403,0.35999998
20200320T0900,9.213722,81.0,1021.6,0.0,0.0,0.0,0.0,0.0,0.0,60.0,124.6,1.0656,360.0,2.5455842,351.8699,9.957108,229.39871,1.4399999
20200320T1000,10.963722,76.0,1021.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,293.69998,2.6237357,23.962479,4.5536795,18.434952,8.714677,231.70984,1.8
20200320T1100,12.803722,69.0,1020.9,0.0,0.0,0.0,0.0,0.0,0.0,60.0,445.0,2.742756,29.05458,4.510787,28.610443,9.826088,241.55707,3.6
