Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;12;17;01;00;8.98;70.00;1005.60;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;7.77;283.39;8.43;250.02;37.11;188.37;20.16
2019;12;17;02;00;8.45;70.00;1005.70;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;6.99;281.89;7.64;261.87;43.94;181.88;31.68
2019;12;17;03;00;8.01;70.00;1006.40;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;9.61;282.99;13.04;276.34;46.45;181.33;34.20
2019;12;17;04;00;7.78;66.00;1005.90;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;8.76;279.46;13.72;265.49;52.20;179.60;33.84
2019;12;17;05;00;7.07;68.00;1004.90;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;9.47;278.75;13.44;262.30;55.08;179.63;32.40
2019;12;17;06;00;7.34;65.00;1005.20;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;8.64;270.00;14.06;256.68;54.04;182.29;32.04
2019;12;17;07;00;7.96;62.00;1006.10;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;6.16;263.29;9.69;248.20;55.14;182.62;32.04
2019;12;17;08;00;7.70;65.00;1005.60;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;6.12;270.00;7.86;254.05;57.62;181.43;31.68
2019;12;17;09;00;7.61;65.00;1005.50;0.00;0.00;0.00;0.00;100.00;100.00;100.00;5.00;0.00;0.00;5.69;288.43;6.52;276.34;52.57;178.82;27.72
2019;12;17;10;00;7.95;63.00;1006.80;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;19.58;5.12;309.29;6.03;287.35;46.51;176.89;30.60
2019;12;17;11;00;8.77;69.00;1006.70;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;137.95;4.90;342.90;5.19;326.31;42.86;178.07;29.88
2019;12;17;12;00;9.77;69.00;1006.30;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;192.24;6.49;356.82;6.52;353.66;39.64;177.40;23.76
2019;12;17;13;00;10.27;68.00;1005.90;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;227.84;7.64;8.13;7.86;15.95;36.37;181.13;24.84
2019;12;17;14;00;10.82;65.00;1007.40;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;189.57;8.09;32.28;8.94;40.10;36.10;189.18;28.44
2019;12;17;15;00;11.16;67.00;1007.60;0.00;0.00;0.00;0.00;100.00;76.00;100.00;27.00;0.00;200.25;7.70;37.41;9.67;45.00;40.12;185.15;27.00
2019;12;17;16;00;11.03;72.00;1008.20;0.00;0.00;0.00;0.00;100.00;23.00;100.00;100.00;0.00;133.50;6.73;15.52;10.50;30.96;44.49;185.57;26.28
