Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2020;02;25;02;00;6.57;52.00;1018.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.97;197.28;24.01;220.14;32.17;264.86;22.32
2020;02;25;03;00;6.24;52.00;1017.10;0.00;0.00;0.00;0.00;30.00;100.00;0.00;0.00;0.00;0.00;16.60;192.53;26.61;203.10;32.84;254.74;29.16
2020;02;25;04;00;5.82;63.00;1016.00;0.00;0.00;0.00;0.00;4.80;16.00;0.00;0.00;0.00;0.00;17.30;192.01;29.38;197.10;30.27;243.13;25.92
2020;02;25;05;00;5.56;68.00;1015.60;0.00;0.00;0.00;0.00;12.00;40.00;0.00;0.00;0.00;0.00;18.16;193.76;32.36;200.85;32.06;245.45;27.36
2020;02;25;06;00;5.24;73.00;1015.20;0.00;0.00;0.00;0.00;0.30;1.00;0.00;0.00;0.00;0.00;18.69;195.64;33.85;203.84;33.65;242.61;27.72
2020;02;25;07;00;5.00;69.00;1015.10;0.00;0.00;0.00;0.00;31.00;0.00;31.00;0.00;0.00;0.00;19.01;198.78;33.18;208.51;36.45;246.73;29.16
2020;02;25;08;00;5.32;65.00;1014.40;0.00;0.00;0.00;0.00;40.00;5.00;40.00;0.00;26.09;22.25;19.59;200.43;31.93;209.74;38.90;239.40;30.24
2020;02;25;09;00;8.39;62.00;1014.10;0.00;0.00;0.00;0.00;100.00;74.00;100.00;0.00;34.47;155.75;18.97;213.39;25.66;214.14;38.60;250.38;28.08
2020;02;25;10;00;8.78;61.00;1014.60;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;145.07;18.22;217.78;23.71;221.92;39.44;248.59;27.00
2020;02;25;11;00;9.43;54.00;1013.80;0.10;0.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;82.77;23.89;210.82;30.06;214.26;54.94;232.45;39.60
